LA,URN,NTEA,NTEAAS,NNONTEA,NFTETEA,NFTETEAAS,NFTENONTEA,RATPUPTEA,SALARY
826,110392,13,18,3,10.2,10.8,2.1,17.4,35583
826,110394,22,31,7,19.4,21.1,5.8,22.4,33604
826,110395,13,15,3,12.5,8.1,2.1,24.2,37881
826,110399,24,25,4,19.3,15.5,3.8,17.5,35505
826,110400,15,16,4,12.5,10.2,2.8,20.7,38172
826,110401,14,15,3,13.4,11.3,2.5,19.7,33006
826,130953,13,12,1,11.2,8.7,1.0,21.1,31986
826,141271,10,19,14,9.0,12.9,7.7,23.0,33481
826,130254,23,21,7,20.6,17.3,4.5,15.2,31712
826,131190,22,16,6,19.9,12.5,3.1,22.4,33612
826,131348,15,26,3,12.4,16.4,2.3,21.7,38142
826,110404,19,21,4,16.7,14.3,3.0,17.5,34690
826,110405,3,2,2,2.4,1.2,0.6,8.1,41054
826,110406,6,3,2,2.8,2.0,0.7,10.1,40865
826,110407,3,3,1,1.5,1.8,0.7,16.8,38699
826,110408,5,3,1,2.7,1.3,0.4,10.0,40409
826,110439,6,7,4,6.0,4.8,2.3,15.4,36989
826,110443,4,3,1,3.4,2.0,0.8,11.3,43817
826,110472,13,12,2,11.1,8.3,1.5,21.2,36847
826,110476,11,16,2,10.0,9.5,1.6,29.9,31558
826,134073,25,15,10,21.2,8.3,5.5,20.8,35595
826,110481,10,13,8,9.1,7.3,5.0,23.2,39567
826,110482,21,25,5,18.4,18.9,4.3,23.7,34905
826,110483,18,33,3,16.7,22.4,1.9,21.4,36206
826,134318,24,30,10,20.9,19.9,8.0,21.0,34296
826,134423,8,5,1,5.8,3.7,1.0,15.9,33866
826,136853,28,32,16,25.8,21.8,11.0,20.9,33864
826,135107,17,19,5,16.6,11.1,3.1,22.7,36576
826,135271,37,8,8,34.8,6.4,7.0,15.4,32026
826,135272,22,22,14,20.4,17.3,8.3,21.9,34632
826,136679,23,32,11,21.7,21.9,8.2,21.0,36313
826,136842,112,13,60,111.8,11.0,58.3,13.8,34880
826,138439,57,31,29,56.4,28.2,25.5,11.7,34411
826,137052,137,27,60,132.1,20.0,51.0,16.6,36777
826,136730,106,46,44,98.5,38.1,35.7,15.7,38018
826,110517,128,72,54,122.7,56.6,37.8,14.2,39416
826,136454,99,17,32,96.1,16.0,29.9,13.5,37683
826,136844,98,37,38,93.9,31.8,32.3,15.1,36163
826,137061,50,16,17,46.1,13.8,15.6,14.7,34981
826,138933,23,40,6,22.5,28.0,5.2,19.7,34127
826,110526,131,35,62,125.7,27.2,54.1,15.9,39486
826,110531,98,42,35,92.7,37.6,31.4,16.1,35440
826,110532,77,31,28,73.1,27.3,26.4,16.0,38217
826,136468,92,25,54,87.7,20.0,49.9,15.7,36078
826,135665,102,37,51,95.5,34.9,47.2,13.7,37798
826,110575,25,31,10,21.5,26.2,7.0,6.9,39242
826,110580,12,13,7,11.6,10.4,5.1,3.1,45618
826,110584,36,114,41,33.1,91.2,35.2,4.8,41395
